episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
43,-187.50601196289062,300,0.0,2,0,0,0,1,1,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
44,-229.9988555908203,300,0.0,2,0,4,5,1,10,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
45,-178.2044677734375,300,0.0,2,0,10,0,0,10,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
46,-268.3912353515625,300,0.0,2,0,3,0,14,17,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
47,-141.64309692382812,300,0.125,2,1,0,0,0,0,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
48,-174.3526611328125,300,0.25,2,2,3,2,1,6,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
49,-217.8214569091797,300,0.0,2,0,18,0,0,18,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
50,-256.7369384765625,300,0.375,2,3,11,1,17,29,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
51,-85.85801696777344,300,0.375,2,3,0,2,0,2,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
52,-186.14060974121094,300,0.0,2,0,2,6,0,8,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
53,-58.15871810913086,300,0.5,2,4,0,0,1,1,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
54,-191.3438720703125,300,0.125,2,1,11,6,1,18,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
55,-184.9615478515625,300,0.25,2,2,5,2,2,9,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
56,-132.15277099609375,300,0.25,2,2,9,1,0,10,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
57,-189.9257354736328,300,0.0,2,0,3,12,1,16,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
58,-197.80853271484375,300,0.0,2,0,10,4,0,14,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
59,-156.98077392578125,300,0.125,2,1,1,2,0,3,0,1.0,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
60,-222.17453002929688,300,0.0,2,0,7,14,0,21,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
61,-110.03157043457031,300,0.25,2,2,0,1,1,2,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
62,-196.24505615234375,300,0.25,2,2,0,1,7,8,0,nan,2,1.0,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
