episode,success_ratio,reached_count,steps,mean_reward,sum_reward,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_tgt,tanet_loss
0,0.0,0,100,-149.5516815185547,-598.2067260742188,1.4926793575286865,1.4070665836334229,1.573747158050537,1.6010934114456177,0,190,0,0.029450805857777596
1,0.25,1,100,-125.01162719726562,-500.0465087890625,1.5649968385696411,1.6966075897216797,0.7072638869285583,1.646950125694275,0,75,0,0.15846221148967743
2,0.25,1,100,-112.41461181640625,-449.658447265625,1.6387523412704468,1.8793946504592896,1.5078142881393433,0.1992526799440384,0,170,0,0.3381621241569519
3,0.0,0,100,-95.9501953125,-383.80078125,1.7265952825546265,1.7506508827209473,1.7603169679641724,1.476097583770752,0,0,0,0.007976427674293518
4,0.0,0,100,-172.92684936523438,-691.7073974609375,2.0414862632751465,2.2223920822143555,2.065225124359131,1.8552578687667847,0,274,0,0.013694753870368004
5,0.0,0,100,-144.3699951171875,-577.47998046875,2.7027549743652344,1.8632580041885376,1.537907361984253,1.1665310859680176,0,67,3,0.0044282469898462296
6,0.0,0,100,-114.61581420898438,-458.4632568359375,1.3371773958206177,2.0555219650268555,2.8307530879974365,2.2718210220336914,0,56,0,0.08010829240083694
7,0.0,0,100,-149.15740966796875,-596.629638671875,2.2869298458099365,2.5688281059265137,2.054382801055908,1.4664885997772217,0,30,0,0.33043909072875977
8,0.25,1,100,-128.0732879638672,-512.2931518554688,2.589538812637329,0.41816264390945435,1.0555434226989746,1.8492587804794312,71,5,0,0.8993737101554871
9,0.25,1,100,-107.20150756835938,-428.8060302734375,2.5307977199554443,2.1083645820617676,0.5368009805679321,1.692447543144226,0,48,0,0.02652215026319027
10,0.0,0,100,-204.75218200683594,-819.0087280273438,2.3318166732788086,1.9686263799667358,0.9423189163208008,2.2777397632598877,65,126,0,0.3534291982650757
11,0.0,0,100,-180.38272094726562,-721.5308837890625,2.736473560333252,0.5902817249298096,1.8188859224319458,1.9074652194976807,65,40,0,0.3621201515197754
12,0.0,0,100,-204.30545043945312,-817.2218017578125,3.4998371601104736,2.3145651817321777,2.2221364974975586,0.5821317434310913,67,112,2,0.5653839707374573
13,0.0,0,100,-160.16339111328125,-640.653564453125,1.238921046257019,1.8033329248428345,2.925208330154419,2.704909086227417,57,68,0,0.3598085045814514
14,0.0,0,100,-177.20901489257812,-708.8360595703125,1.124656081199646,0.9142982959747314,1.6450684070587158,2.6114702224731445,59,4,0,0.40243029594421387
15,0.0,0,100,-191.35101318359375,-765.404052734375,1.9828436374664307,1.8473725318908691,1.4177253246307373,2.002653121948242,63,41,0,0.3738805949687958
16,0.0,0,100,-139.2478485107422,-556.9913940429688,2.0243167877197266,0.9373918175697327,1.723665475845337,2.539895534515381,62,19,1,0.365062952041626
17,0.0,0,100,-159.29608154296875,-637.184326171875,1.8369653224945068,1.7752008438110352,2.412031412124634,1.6267743110656738,59,93,0,0.35284510254859924
