episode,avg_reward,episode_length,high_priority_success,uav0_dist,uav1_dist,uav2_dist,uav3_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,uav0_finish,uav1_finish,uav2_finish,uav3_finish
22,-207.2440185546875,300,0.0,15.118825912475586,8.255460739135742,7.704917907714844,7.634089946746826,159,1,0,-1,-1,-1,-1
23,-833.1490478515625,300,0.0,12.775957107543945,9.886487007141113,7.581539154052734,6.959499359130859,167,494,0,-1,-1,-1,-1
24,-103.53633117675781,300,0.5,10.525975227355957,0.8600471019744873,6.558933258056641,0.17261287569999695,0,0,0,-1,300,-1,300
25,-270.8931579589844,300,0.0,10.963399887084961,16.213850021362305,7.774160385131836,7.535010814666748,1,9,0,-1,-1,-1,-1
26,-333.29339599609375,300,0.0,8.729547500610352,14.899160385131836,16.92894172668457,7.068640232086182,0,7,0,-1,-1,-1,-1
27,-207.65240478515625,300,0.25,13.01571273803711,3.2480900287628174,8.40122127532959,7.051286697387695,0,3,8,-1,49,-1,-1
28,-276.01910400390625,300,0.0,16.76498031616211,12.873852729797363,8.477913856506348,7.23408842086792,28,21,0,-1,-1,-1,-1
29,-286.5982360839844,300,0.0,11.127128601074219,14.489350318908691,8.527982711791992,7.864895820617676,0,15,0,-1,-1,-1,-1
30,-239.3668212890625,300,0.0,14.055745124816895,13.676816940307617,15.072724342346191,6.583760738372803,0,5,1,-1,-1,-1,-1
31,-288.6705322265625,300,0.0,11.565537452697754,15.587048530578613,12.327566146850586,7.0842180252075195,0,33,0,-1,-1,-1,-1
32,-340.2086486816406,300,0.0,8.379776954650879,16.81868553161621,15.607230186462402,7.743453502655029,0,22,0,-1,-1,-1,-1
33,-223.29550170898438,300,0.0,7.682854175567627,16.580358505249023,17.011526107788086,8.213876724243164,0,0,0,-1,-1,-1,-1
34,-223.90170288085938,300,0.25,12.602112770080566,10.24797534942627,16.686922073364258,7.488096714019775,0,30,25,-1,300,-1,-1
35,-263.6907043457031,300,0.0,14.015557289123535,15.6502103805542,18.446563720703125,6.900843143463135,0,16,0,-1,-1,-1,-1
36,-147.92282104492188,300,0.25,11.537309646606445,16.75104522705078,20.09701156616211,1.4338581562042236,0,1,0,-1,-1,-1,300
37,-195.88800048828125,300,0.0,6.3555450439453125,16.58165168762207,16.556055068969727,8.458368301391602,0,3,0,-1,-1,-1,-1
38,-288.0718994140625,300,0.0,8.951654434204102,16.51908302307129,15.39692497253418,5.920524597167969,0,0,1,-1,-1,-1,-1
39,-251.7296142578125,300,0.25,1.4855594635009766,14.987445831298828,14.597206115722656,8.595513343811035,0,0,0,300,-1,-1,-1
40,-197.87213134765625,300,0.0,13.008956909179688,17.32103729248047,19.806745529174805,7.3887128829956055,0,15,1,-1,-1,-1,-1
41,-266.5108642578125,300,0.0,7.719876289367676,15.817472457885742,17.50519371032715,9.268547058105469,0,13,0,-1,-1,-1,-1
42,-234.19422912597656,300,0.0,8.17535400390625,16.903610229492188,18.620895385742188,8.689216613769531,0,0,0,-1,-1,-1,-1
43,-315.0625,300,0.0,7.832792282104492,16.412229537963867,16.40608024597168,13.23180866241455,0,86,0,-1,-1,-1,-1
44,-175.33897399902344,300,0.25,7.569070816040039,15.150951385498047,16.7177677154541,8.252774238586426,0,3,7,-1,-1,-1,300
45,-216.32803344726562,300,0.25,7.693840026855469,18.195913314819336,16.72191047668457,6.660918712615967,0,22,10,-1,-1,-1,300
46,-204.32650756835938,300,0.25,1.43867027759552,15.91789722442627,17.894548416137695,15.426517486572266,10,59,6,300,-1,-1,-1
47,-332.3369140625,300,0.25,12.823220252990723,17.344585418701172,4.610162734985352,16.74026107788086,0,133,17,-1,-1,300,-1
48,-179.02392578125,300,0.5,2.7141528129577637,16.797365188598633,3.143995523452759,15.53016471862793,0,61,22,300,-1,300,-1
49,-232.28564453125,300,0.25,16.585268020629883,19.11178970336914,16.89887809753418,4.062692642211914,0,65,0,-1,-1,-1,300
50,-721.1492919921875,300,0.0,13.349210739135742,19.447614669799805,19.81656265258789,17.217031478881836,0,416,0,-1,-1,-1,-1
51,-164.2611846923828,300,0.25,16.934843063354492,0.2917369604110718,16.886281967163086,12.5541353225708,0,3,0,-1,300,-1,-1
52,-286.774169921875,300,0.0,15.44957447052002,15.711695671081543,17.02008056640625,16.06359100341797,14,10,48,-1,-1,-1,-1
