episode,seed,n_obstacles,steps,windows,completed_high_total,success,avg_reward_episode,uav0_dist,uav1_dist,uav2_dist,uav3_dist,mean_uav_dist,coll_uav_uav,coll_uav_obs,coll_uav_other_task,total_collisions,collision_rate,uav0_finish,uav1_finish,uav2_finish,uav3_finish,mean_finish_step
12,2035,4,24,1,4,1.0,9.915943145751953,0.5542609691619873,0.6058930158615112,0.7621217966079712,1.8779442310333252,0.9500550031661987,0,2,0,2,0.08333333333333333,7,7,9,24,11.75
13,2036,4,23,1,4,1.0,11.955339431762695,0.5803539156913757,0.8449881672859192,1.954816460609436,0.3641611337661743,0.9360798597335815,0,0,0,0,0.0,7,10,23,5,11.25
14,2037,4,24,1,4,1.0,-2.0016722679138184,0.5889791250228882,1.7165809869766235,0.8769019246101379,1.8113181591033936,1.2484450340270996,0,10,0,10,0.4166666666666667,8,22,11,24,16.25
15,2038,4,14,1,4,1.0,4.8859405517578125,1.1116790771484375,0.5285604596138,0.6570663452148438,0.7227972149848938,0.7550257444381714,0,7,0,7,0.5,14,7,8,10,9.75
16,2039,4,300,1,3,0.75,-2.7258822917938232,17.655128479003906,0.7094311118125916,1.6824356317520142,1.0716512203216553,5.279661655426025,0,4,0,4,0.013333333333333334,-1,300,300,300,300.0
17,2040,4,10,1,4,1.0,14.499290466308594,0.3507387042045593,0.24475198984146118,0.7681799530982971,0.17162266373634338,0.38382330536842346,0,0,0,0,0.0,5,3,10,3,5.25
18,2041,4,22,1,4,1.0,7.804368019104004,0.4669823944568634,1.7280129194259644,0.47805124521255493,1.38774836063385,1.0151987075805664,0,3,0,3,0.13636363636363635,7,22,6,20,13.75
19,2042,4,27,1,4,1.0,3.711099863052368,1.673067331314087,2.034324884414673,0.2355928122997284,0.5614297986030579,1.1261037588119507,0,5,0,5,0.18518518518518517,20,27,3,8,14.5
0,2023,5,18,1,4,1.0,13.37971305847168,0.22760097682476044,0.34575238823890686,0.5564473867416382,1.3840574026107788,0.6284645795822144,0,0,0,0,0.0,3,5,7,18,8.25
1,2024,5,17,1,4,1.0,8.51648998260498,0.9105109572410583,1.3668032884597778,0.37215107679367065,0.49348917603492737,0.7857386469841003,0,4,0,4,0.23529411764705882,12,17,5,6,10.0
2,2025,5,16,1,4,1.0,13.325116157531738,0.5231289863586426,0.9446113109588623,0.30853429436683655,1.1475412845611572,0.7309539318084717,0,0,0,0,0.0,7,12,4,16,9.75
3,2026,5,24,1,4,1.0,11.812801361083984,0.9294470548629761,0.7199602127075195,0.8559353351593018,1.7875021696090698,1.0732111930847168,0,0,0,0,0.0,12,9,12,24,14.25
4,2027,5,25,1,4,1.0,3.4010543823242188,0.39258670806884766,1.389068603515625,0.820035457611084,1.929758071899414,1.1328622102737427,0,6,0,6,0.24,7,18,10,25,15.0
5,2028,5,18,1,4,1.0,10.574552536010742,0.8865704536437988,1.3248765468597412,0.6073542833328247,0.5181460976600647,0.8342368602752686,0,2,0,2,0.1111111111111111,11,18,8,6,10.75
6,2029,5,27,1,4,1.0,-2.517155408859253,0.2398260533809662,1.0841453075408936,2.108292579650879,0.7280404567718506,1.0400760173797607,0,11,0,11,0.4074074074074074,3,14,27,10,13.5
7,2030,5,16,1,4,1.0,13.676944732666016,0.65993732213974,1.2206759452819824,0.29134365916252136,0.559359610080719,0.6828291416168213,0,0,0,0,0.0,9,16,4,7,9.0
8,2031,5,8,1,4,1.0,14.166664123535156,0.6214435696601868,0.5113623142242432,0.6602016687393188,0.23054926097393036,0.5058891773223877,0,0,0,0,0.0,8,6,8,4,6.5
9,2032,5,13,1,4,1.0,13.88460922241211,0.4456608295440674,0.9543921947479248,0.3738701343536377,0.7942129373550415,0.6420340538024902,0,0,0,0,0.0,6,13,6,11,9.0
10,2033,5,26,1,4,1.0,0.6268582344055176,2.1504602432250977,0.16410239040851593,0.3330082297325134,1.3578273057937622,1.0013495683670044,0,8,0,8,0.3076923076923077,26,2,4,18,12.5
11,2034,5,13,1,4,1.0,12.566268920898438,0.40395745635032654,0.8623653650283813,1.0813995599746704,0.6331316232681274,0.745213508605957,0,1,0,1,0.07692307692307693,5,11,13,8,9.25
12,2035,5,24,1,4,1.0,9.60694694519043,0.9031679034233093,0.6162976622581482,0.7490431070327759,1.9252270460128784,1.0484338998794556,0,2,0,2,0.08333333333333333,12,8,9,24,13.25
