episode,avg_reward,episode_length,high_priority_success,num_windows,completed_high_total,obstacle_collisions,building_collisions,uav_uav_collisions,total_collisions,terminated_by_collision,mean_steps_to_complete,n_obstacles,inspection_z_fraction,completion_xy_radius,completion_z_tol,uav_sep,uav_sep_penalty,obstacle_collision_penalty,building_collision_penalty,uav_collision_penalty,terminate_on_collision
43,-229.743408203125,300,0.0,2,0,0,6,0,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
44,-234.18299865722656,300,0.125,2,1,15,5,0,20,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
45,-196.68736267089844,300,0.0,2,0,2,2,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
46,-200.37757873535156,300,0.0,2,0,2,1,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
47,-214.9227752685547,300,0.0,2,0,3,0,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
48,-251.29885864257812,300,0.0,2,0,21,2,0,23,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
49,-219.1923828125,300,0.0,2,0,6,3,1,10,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
50,-174.08319091796875,300,0.125,2,1,2,1,0,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
51,-191.9444122314453,300,0.0,2,0,0,2,0,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
52,-175.85366821289062,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
53,-204.77037048339844,300,0.0,2,0,1,2,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
54,-181.0235595703125,300,0.25,2,2,2,2,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
55,-131.81529235839844,300,0.25,2,2,0,0,0,0,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
56,-169.05445861816406,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
57,-180.76736450195312,300,0.0,2,0,1,0,1,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
58,-187.8280487060547,300,0.0,2,0,2,1,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
59,-198.0858154296875,300,0.25,2,2,0,3,0,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
60,-192.60934448242188,300,0.0,2,0,0,1,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
61,-192.78460693359375,300,0.0,2,0,3,1,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
62,-230.89515686035156,300,0.0,2,0,0,5,1,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
63,-229.31423950195312,300,0.0,2,0,17,0,0,17,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
64,-162.40823364257812,300,0.0,2,0,3,0,2,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
65,-167.57064819335938,300,0.25,2,2,4,7,2,13,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
66,-173.32315063476562,300,0.125,2,1,4,0,0,4,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
67,-118.49630737304688,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
68,-187.13644409179688,300,0.0,2,0,3,1,1,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
69,-254.80960083007812,300,0.0,2,0,17,1,1,19,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
70,-104.09678649902344,300,0.25,2,2,0,2,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
71,-193.9989471435547,300,0.0,2,0,11,0,0,11,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
72,-175.75149536132812,300,0.25,2,2,0,1,4,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
73,-293.00146484375,300,0.125,2,1,29,2,1,32,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
74,-166.1865692138672,300,0.0,2,0,3,0,0,3,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
75,-136.45394897460938,300,0.25,2,2,3,1,0,4,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
76,-139.455810546875,300,0.0,2,0,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
77,-239.59539794921875,300,0.0,2,0,15,1,0,16,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
78,-161.3255615234375,300,0.125,2,1,0,7,0,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
79,-156.332763671875,300,0.25,2,2,8,4,0,12,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
80,-174.90008544921875,300,0.125,2,1,5,4,4,13,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
81,-137.78085327148438,300,0.5,2,4,9,2,3,14,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
82,-208.65301513671875,300,0.0,2,0,3,12,3,18,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
83,-187.2909393310547,300,0.0,2,0,12,4,0,16,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
84,-136.14517211914062,300,0.25,2,2,4,1,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
85,-116.92922973632812,300,0.0,2,0,4,2,0,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
86,-90.3521728515625,300,0.375,2,3,2,3,0,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
87,-160.95303344726562,300,0.125,2,1,1,13,0,14,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
88,-111.23084259033203,300,0.375,2,3,1,13,0,14,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
89,-236.56979370117188,300,0.375,2,3,0,34,6,40,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
90,-221.41416931152344,300,0.0,2,0,2,7,3,12,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
91,-334.0339050292969,300,0.125,2,1,28,28,1,57,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
92,-185.95877075195312,300,0.25,2,2,21,4,1,26,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
93,-288.74493408203125,300,0.0,2,0,0,15,14,29,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
94,-160.7662811279297,300,0.125,2,1,0,0,5,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
95,-284.9793395996094,300,0.125,2,1,11,0,16,27,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
96,-192.51678466796875,300,0.375,2,3,0,13,10,23,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
97,-448.10845947265625,300,0.25,2,2,14,31,24,69,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
98,-161.4422607421875,300,0.0,2,0,1,10,1,12,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
99,-297.98406982421875,300,0.0,2,0,12,27,5,44,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
100,-111.04383850097656,300,0.5,2,4,0,14,0,14,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
101,-179.14170837402344,300,0.25,2,2,0,23,0,23,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
102,-85.35704803466797,300,0.375,2,3,0,4,1,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
103,-113.30353546142578,300,0.25,2,2,3,4,0,7,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
104,-70.1524658203125,300,0.375,2,3,0,4,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
105,-199.418701171875,300,0.125,2,1,6,17,0,23,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
106,-162.1344757080078,300,0.25,2,2,13,1,0,14,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
107,-149.68727111816406,300,0.125,2,1,2,0,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
108,-277.2304992675781,300,0.125,2,1,30,8,0,38,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
109,-78.7597427368164,300,0.375,2,3,0,5,0,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
110,-170.9217071533203,300,0.0,2,0,6,1,0,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
111,-103.75621032714844,300,0.375,2,3,4,2,0,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
112,-105.57316589355469,300,0.25,2,2,0,0,0,0,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
113,-130.4112548828125,300,0.0,2,0,6,0,0,6,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
114,-111.63933563232422,300,0.375,2,3,4,2,1,7,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
115,-91.3360595703125,300,0.25,2,2,0,0,1,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
116,-40.1917839050293,300,0.5,2,4,0,1,0,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
117,-148.0270233154297,300,0.25,2,2,0,5,2,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
118,-229.6692352294922,300,0.125,2,1,0,24,2,26,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
119,-143.2059326171875,300,0.0,2,0,0,1,1,2,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
120,-123.89485168457031,300,0.125,2,1,1,0,3,4,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
121,-239.82839965820312,300,0.0,2,0,22,0,0,22,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
122,-129.6615753173828,300,0.25,2,2,1,6,0,7,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
123,-128.25140380859375,300,0.125,2,1,0,5,2,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
124,-87.72969055175781,300,0.25,2,2,2,0,0,2,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
125,-173.34063720703125,300,0.125,2,1,8,10,0,18,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
126,-154.8688201904297,300,0.125,2,1,9,4,0,13,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
127,-231.707275390625,300,0.0,2,0,26,0,0,26,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
128,-89.93917846679688,300,0.25,2,2,0,0,1,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
129,-220.64114379882812,300,0.125,2,1,11,9,4,24,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
130,-116.85385131835938,300,0.25,2,2,2,1,1,4,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
131,-149.28829956054688,300,0.0,2,0,2,3,0,5,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
132,-104.61808013916016,300,0.125,2,1,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
133,-123.845703125,300,0.0,2,0,0,0,1,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
134,-65.75637817382812,300,0.5,2,4,1,0,0,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
135,-199.57974243164062,300,0.0,2,0,10,8,0,18,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
136,-150.2290802001953,300,0.25,2,2,3,4,0,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
137,-52.852664947509766,300,0.625,2,5,3,0,0,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
138,-143.35760498046875,300,0.25,2,2,10,0,0,10,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
139,-142.05335998535156,300,0.25,2,2,12,0,0,12,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
140,-126.7206802368164,300,0.125,2,1,0,0,0,0,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
141,-159.48497009277344,300,0.375,2,3,0,18,0,18,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
142,-141.95718383789062,300,0.0,2,0,1,0,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
143,-159.65328979492188,300,0.25,2,2,14,0,0,14,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
144,-88.60655212402344,300,0.375,2,3,0,3,0,3,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
145,-68.49130249023438,300,0.375,2,3,0,1,0,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
146,-195.84298706054688,300,0.0,2,0,14,0,0,14,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
147,-77.04700469970703,300,0.375,2,3,0,0,1,1,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
148,-125.32765197753906,300,0.125,2,1,0,4,0,4,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
149,-171.08193969726562,300,0.125,2,1,1,16,0,17,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
150,-157.0068359375,300,0.125,2,1,0,6,1,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
151,-111.44210815429688,300,0.25,2,2,3,4,0,7,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
152,-71.86186981201172,300,0.375,2,3,0,1,0,1,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
153,-106.12614440917969,300,0.5,2,4,3,2,0,5,0,1.0,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
154,-221.00955200195312,300,0.0,2,0,21,0,0,21,0,nan,2,0.5,0.2,0.08,0.15,1.0,15.0,15.0,15.0,0
